Link,home_EOL,away_EOL,home_win,away_win,draw,Error,Retry,Status
https://www.besoccer.com/match/watford-fc/middlesbrough-fc/202175607,65,60,"
57.9%
Watford
","
17.1%
Middlesbrough
","
25%
Draw
",,False,Success
https://www.besoccer.com/match/birmingham-city-fc/brentford/202175599,52,59,"
32.4%
Birmingham City
","
43.8%
Brentford
","
23.8%
Draw
",,False,Success
https://www.besoccer.com/match/wycombe-wanderers/rotherham-united/202175608,41,48,"
29.7%
Wycombe Wanderers
","
48.6%
Rotherham United
","
21.7%
Draw
",,False,Success
https://www.besoccer.com/match/afc-bournemouth/blackburn-rovers-fc/202175597,63,57,"
43.8%
AFC Bournemouth
","
32.6%
Blackburn Rovers
","
23.6%
Draw
",,False,Success
https://www.besoccer.com/match/barnsley-fc/luton-town-fc/202175598,47,50,"
47.5%
Barnsley
","
26.1%
Luton Town
","
26.4%
Draw
",,False,Success
https://www.besoccer.com/match/bristol-city-fc/coventry-city/202175600,58,45,"
43.1%
Bristol City
","
33.8%
Coventry City
","
23.2%
Draw
",,False,Success
https://www.besoccer.com/match/cardiff-city-fc/sheffield-wednesday-fc/202175601,60,60,"
41%
Cardiff City
","
33.4%
Sheffield Wednesday
","
25.5%
Draw
",,False,Success
https://www.besoccer.com/match/derby-county-fc/reading-fc/202175602,61,54,"
45.8%
Derby County
","
29.2%
Reading
","
25%
Draw
",,False,Success
https://www.besoccer.com/match/huddersfield-town-fc/norwich-city-fc/202175603,57,61,"
39.7%
Huddersfield Town
","
31.8%
Norwich City
","
28.5%
Draw
",,False,Success
https://www.besoccer.com/match/millwall-fc/stoke-city/202175604,55,65,"
43%
Millwall
","
28.7%
Stoke City
","
28.3%
Draw
",,False,Success
https://www.besoccer.com/match/preston-north-end/swansea-city-afc/202175605,60,68,"
46.8%
Preston North End
","
25.6%
Swansea City
","
27.6%
Draw
",,False,Success
https://www.besoccer.com/match/queens-park-rangers-fc/nottingham-forest-fc/202175606,55,60,"
53.8%
Queens Park Rangers
","
25.2%
Nottingham Forest
","
21.1%
Draw
",,False,Success
https://www.besoccer.com/match/coventry-city/queens-park-rangers-fc/202175611,45,55,"
31.5%
Coventry City
","
40.9%
Queens Park Rangers
","
27.5%
Draw
",,False,Success
https://www.besoccer.com/match/nottingham-forest-fc/cardiff-city-fc/202175615,60,60,"
25.6%
Nottingham Forest
","
46.6%
Cardiff City
","
27.9%
Draw
",,False,Success
https://www.besoccer.com/match/blackburn-rovers-fc/wycombe-wanderers/202175609,57,41,"
58.8%
Blackburn Rovers
","
20.1%
Wycombe Wanderers
","
21.1%
Draw
",,False,Success
https://www.besoccer.com/match/brentford/huddersfield-town-fc/202175610,59,57,"
65.4%
Brentford
","
15.8%
Huddersfield Town
","
18.8%
Draw
",,False,Success
https://www.besoccer.com/match/luton-town-fc/derby-county-fc/202175612,50,61,"
42.9%
Luton Town
","
31%
Derby County
","
26.1%
Draw
",,False,Success
https://www.besoccer.com/match/middlesbrough-fc/afc-bournemouth/202175613,60,63,"
40.4%
Middlesbrough
","
32%
AFC Bournemouth
","
27.6%
Draw
",,False,Success
https://www.besoccer.com/match/norwich-city-fc/preston-north-end/202175614,61,60,"
42%
Norwich City
","
27.5%
Preston North End
","
30.5%
Draw
",,False,Success
https://www.besoccer.com/match/reading-fc/barnsley-fc/202175616,54,47,"
46.9%
Reading
","
28.4%
Barnsley
","
24.7%
Draw
",,False,Success
https://www.besoccer.com/match/rotherham-united/millwall-fc/202175617,48,55,"
41.9%
Rotherham United
","
34.2%
Millwall
","
23.9%
Draw
",,False,Success
https://www.besoccer.com/match/sheffield-wednesday-fc/watford-fc/202175618,60,65,"
26.1%
Sheffield Wednesday
","
37.6%
Watford
","
36.3%
Draw
",,False,Success
https://www.besoccer.com/match/swansea-city-afc/birmingham-city-fc/202175620,68,52,"
39.2%
Swansea City
","
31.7%
Birmingham City
","
29.1%
Draw
",,False,Success
https://www.besoccer.com/match/stoke-city/bristol-city-fc/202175619,65,58,"
53.3%
Stoke City
","
21.2%
Bristol City
","
25.5%
Draw
",,False,Success
https://www.besoccer.com/match/huddersfield-town-fc/nottingham-forest-fc/202175627,57,60,"
35.4%
Huddersfield Town
","
37%
Nottingham Forest
","
27.6%
Draw
",,False,Success
https://www.besoccer.com/match/watford-fc/luton-town-fc/202175631,65,50,"
59.9%
Watford
","
16.8%
Luton Town
","
23.3%
Draw
",,False,Success
https://www.besoccer.com/match/wycombe-wanderers/swansea-city-afc/202175632,41,68,"
32.8%
Wycombe Wanderers
","
41.2%
Swansea City
","
26%
Draw
",,False,Success
https://www.besoccer.com/match/barnsley-fc/coventry-city/202175622,47,46,"
38.9%
Barnsley
","
37.6%
Coventry City
","
23.5%
Draw
",,False,Success
https://www.besoccer.com/match/birmingham-city-fc/rotherham-united/202175623,52,48,"
38.5%
Birmingham City
","
38.5%
Rotherham United
","
22.9%
Draw
",,False,Success
https://www.besoccer.com/match/cardiff-city-fc/reading-fc/202175625,60,54,"
40.6%
Cardiff City
","
35%
Reading
","
24.4%
Draw
",,False,Success
https://www.besoccer.com/match/derby-county-fc/blackburn-rovers-fc/202175626,61,57,"
34.8%
Derby County
","
40.3%
Blackburn Rovers
","
24.9%
Draw
",,False,Success
https://www.besoccer.com/match/millwall-fc/brentford/202175628,55,59,"
31.4%
Millwall
","
44.8%
Brentford
","
23.8%
Draw
",,False,Success
https://www.besoccer.com/match/preston-north-end/stoke-city/202175629,60,65,"
46.7%
Preston North End
","
26%
Stoke City
","
27.3%
Draw
",,False,Success
https://www.besoccer.com/match/queens-park-rangers-fc/middlesbrough-fc/202175630,55,60,"
62%
Queens Park Rangers
","
17.3%
Middlesbrough
","
20.7%
Draw
",,False,Success
https://www.besoccer.com/match/bristol-city-fc/sheffield-wednesday-fc/202175624,58,60,"
43.1%
Bristol City
","
31%
Sheffield Wednesday
","
25.8%
Draw
",,False,Success
https://www.besoccer.com/match/afc-bournemouth/norwich-city-fc/202175621,62,61,"
45.2%
AFC Bournemouth
","
27.5%
Norwich City
","
27.4%
Draw
",,False,Success
https://www.besoccer.com/match/coventry-city/afc-bournemouth/202175635,46,62,"
31.3%
Coventry City
","
42.5%
AFC Bournemouth
","
26.2%
Draw
",,False,Success
https://www.besoccer.com/match/norwich-city-fc/derby-county-fc/202175638,62,60,"
44.1%
Norwich City
","
26.3%
Derby County
","
29.7%
Draw
",,False,Success
https://www.besoccer.com/match/blackburn-rovers-fc/cardiff-city-fc/202175633,58,60,"
45.2%
Blackburn Rovers
","
31.6%
Cardiff City
","
23.2%
Draw
",,False,Success
https://www.besoccer.com/match/luton-town-fc/wycombe-wanderers/202175636,51,41,"
63.9%
Luton Town
","
16.2%
Wycombe Wanderers
","
19.9%
Draw
",,False,Success
https://www.besoccer.com/match/middlesbrough-fc/barnsley-fc/202175637,61,46,"
52.1%
Middlesbrough
","
24.6%
Barnsley
","
23.3%
Draw
",,False,Success
https://www.besoccer.com/match/nottingham-forest-fc/bristol-city-fc/202175639,60,57,"
36.1%
Nottingham Forest
","
31.9%
Bristol City
","
32.1%
Draw
",,False,Success
https://www.besoccer.com/match/reading-fc/watford-fc/202175640,54,64,"
41.9%
Reading
","
29.6%
Watford
","
28.5%
Draw
",,False,Success
https://www.besoccer.com/match/rotherham-united/huddersfield-town-fc/202175641,47,57,"
46.6%
Rotherham United
","
28.1%
Huddersfield Town
","
25.3%
Draw
",,False,Success
https://www.besoccer.com/match/sheffield-wednesday-fc/queens-park-rangers-fc/202175642,60,54,"
28.1%
Sheffield Wednesday
","
39.2%
Queens Park Rangers
","
32.7%
Draw
",,False,Success
https://www.besoccer.com/match/swansea-city-afc/millwall-fc/202175644,68,55,"
34.9%
Swansea City
","
35.6%
Millwall
","
29.6%
Draw
",,False,Success
https://www.besoccer.com/match/brentford/preston-north-end/202175634,59,60,"
63.4%
Brentford
","
16.3%
Preston North End
","
20.4%
Draw
",,False,Success
https://www.besoccer.com/match/stoke-city/birmingham-city-fc/202175643,65,52,"
54.7%
Stoke City
","
21.1%
Birmingham City
","
24.2%
Draw
",,False,Success
https://www.besoccer.com/match/derby-county-fc/watford-fc/202175650,60,64,"
40.5%
Derby County
","
27.6%
Watford
","
31.9%
Draw
",,False,Success
https://www.besoccer.com/match/afc-bournemouth/queens-park-rangers-fc/202175645,63,54,"
52.4%
AFC Bournemouth
","
23.4%
Queens Park Rangers
","
24.2%
Draw
",,False,Success
https://www.besoccer.com/match/barnsley-fc/bristol-city-fc/202175646,48,58,"
38.4%
Barnsley
","
34.7%
Bristol City
","
26.9%
Draw
",,False,Success
https://www.besoccer.com/match/birmingham-city-fc/sheffield-wednesday-fc/202175647,52,60,"
38.3%
Birmingham City
","
35.7%
Sheffield Wednesday
","
26%
Draw
",,False,Success
https://www.besoccer.com/match/blackburn-rovers-fc/nottingham-forest-fc/202175648,58,60,"
51.2%
Blackburn Rovers
","
23.9%
Nottingham Forest
","
24.9%
Draw
",,False,Success
https://www.besoccer.com/match/brentford/coventry-city/202175649,59,47,"
66.3%
Brentford
","
17.2%
Coventry City
","
16.5%
Draw
",,False,Success
